Name,Yelp,Google,Overall,Menu_Item,Cost
Albertacos,3.5,3.9,3.45,California,5.7
Albertacos,3.5,3.9,3.45,Carne Asada,5.25
Burrito Factory,4.5,4.8,3.5,Steak Everything,7.35
Burros and Fries,3.5,4.1,3.575,California,7.19
Burros and Fries,3.5,4.1,3.575,Carne Asada,6.89
Burros and Fries,3.5,4.1,3.575,Shrimp California,6.99
Caliente Mexican Food,3.5,4.4,3.25,California,6.47
Caliente Mexican Food,3.5,4.4,3.25,Carne Asada,5.56
Caliente Mexican Food,3.5,4.4,3.25,Fried Fish,5.56
California Burrito Company,3.5,4.4,3.2,California,5.5
California Burrito Company,3.5,4.4,3.2,Dave'S California,6.5
California Burrito Company,3.5,4.4,3.2,Fajitas,6.5
California Burritos,4.5,4.4,4.1,California (Only Cheese),6.25
California Burritos,4.5,4.4,4.1,California Everything,6.95
California Burritos,4.5,4.4,4.1,Carne Asada Everything,6.25
California Burritos,4.5,4.4,4.1,Carnitas,5.5
California Burritos,4.5,4.4,4.1,Chile Relleno And Carnitas,6.5
California Burritos,4.5,4.4,4.1,Surf & Turf,7
California Burritos,4.5,4.4,4.1,California Everything,6.5
California Burritos,4.5,4.4,4.1,California Everything Mini,4.75
California Burritos,4.5,4.4,4.1,Surf & Turf,6.75
Cancun Mexican & Seafood,4.5,4.1,4.1,Adobada,6.45
Cancun Mexican & Seafood,4.5,4.1,4.1,California,6.99
Cancun Mexican & Seafood,4.5,4.1,4.1,Machaca,5.99
Carmen's Mexican Food,4,4.2,3.8,Adobada,6.5
Carmen's Mexican Food,4,4.2,3.8,Carne Asada,6.5
Chipotle,3,4.2,3.375,Carnitas,7.15
Chipotle,3,4.2,3.375,Custom,7
Colima's Mexican Food,4,4.2,3.666666667,Colimas Burrito,8.25
Colima's Mexican Food,4,4.2,3.666666667,Bandido,6.49
Colima's Mexican Food,4,4.2,3.666666667,Hawaiian,6.29
Cortez Mexican Food,4.2,4,3.2,California,6.25
Cotixan,4,4,3.6,California,6.9
Cotixan,4,4,3.6,California,7.19
Don Carlos Taco Shop,4,4.5,3.3,California,7.75
Donato's taco shop,3.5,4.2,3.8,Al Pastor,5.99
Donato's taco shop,3.5,4.2,3.8,Carne Asada,5.99
Donato's taco shop,3.5,4.2,3.8,California,6.49
El Cuervo,4,4.3,3.8,California,6.95
El Cuervo,4,4.3,3.8,Pollo Adobado,5.95
El Dorado Mexican Food,4.5,4,4.025,California,6.94
El Dorado Mexican Food,4.5,4,4.025,California,7.4
El Dorado Mexican Food,4.5,4,4.025,Super,6.94
El Indio,3.5,3.9,4,California,7.84
El Pollo Loco,3.5,4.1,3.2,Chicken Avocado,5.99
El Portal Fresh Mexican Grill,4,4.4,3.425,Carnitas,6.7
El Portal Fresh Mexican Grill,4,4.4,3.425,Mahi,7.35
El Pueblo Mexican Food,4,4.7,4.3,California,4.99
El Rey Moro,4,3.8,3.666666667,California Surf,9.19
El Rey Moro,4,3.8,3.666666667,Hashbrown,6.47
El Torrito Foods,4,4.4,2.85,Adobada,3.99
El Torrito Foods,4,4.4,2.85,Asada,5.49
El Zarape,4,4.4,3.548147778,Azteca,6.25
El Zarape,4,4.4,3.548147778,California,6.25
El Zarape,4,4.4,3.548147778,California Chicken,6.25
El Zarape,4,4.4,3.548147778,Carne Asada Supreme,6.25
El Zarape,4,4.4,3.548147778,Lobster,9.5
El Zarape,4,4.4,3.548147778,Surf And Turf,7
Famoso Mexican Street Food,4.5,3.9,3.1,Cali Diablo,10.5
Filiberto's,3,3.8,3.85,Adobada,6.25
Filiberto's,3,3.8,3.85,California,6.25
Gloria's Taco Shop,4,4.3,2.35,Cabeza,5.49
