Rk,Season,Conf,W,L,W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2023-24,ACC,29,8,0.784,21.36,9.9,81.9,70.5,19.0,3.0,7.0,Lost NCAA Tournament Regional Semifinal,1.0,Hubert Davis (29-8)
2,2022-23,ACC,20,13,0.606,12.94,7.66,76.2,70.9,1.0,1.0,,,,Hubert Davis (20-13)
3,2021-22,ACC,29,10,0.744,15.5,8.89,77.9,71.3,19.0,18.0,,Lost NCAA Tournament National Final,8.0,Hubert Davis (29-10)
4,2020-21,ACC,18,11,0.621,14.79,9.52,75.2,69.9,16.0,14.0,,Lost NCAA Tournament First Round,8.0,Roy Williams (18-11)
5,2019-20,ACC,14,19,0.424,9.45,10.05,72.2,72.8,9.0,5.0,,,,Roy Williams (14-19)
6,2018-19,ACC,29,7,0.806,23.94,11.35,85.8,73.2,8.0,3.0,3.0,Lost NCAA Tournament Regional Semifinal,1.0,Roy Williams (29-7)
7,2017-18,ACC,26,11,0.703,20.07,11.78,81.6,73.3,9.0,5.0,10.0,Lost NCAA Tournament Second Round,2.0,Roy Williams (26-11)
8,2016-17,ACC,33,7,0.825,24.84,11.76,84.4,70.6,6.0,3.0,6.0,Won NCAA Tournament National Final,1.0,Roy Williams (33-7)
9,2015-16,ACC,33,7,0.825,23.44,10.69,82.8,70.0,1.0,1.0,3.0,Lost NCAA Tournament National Final,1.0,Roy Williams (33-7)
10,2014-15,ACC,26,12,0.684,20.63,11.76,77.7,68.8,6.0,5.0,15.0,Lost NCAA Tournament Regional Semifinal,4.0,Roy Williams (26-12)
11,2013-14,ACC,24,10,0.706,15.24,8.42,76.6,69.8,12.0,12.0,19.0,Lost NCAA Tournament Third Round,6.0,Roy Williams (24-10)
12,2012-13,ACC,25,11,0.694,14.57,8.06,76.7,69.2,11.0,9.0,,Lost NCAA Tournament Third Round,8.0,Roy Williams (25-11)
13,2011-12,ACC,32,6,0.842,21.34,7.07,81.3,67.1,1.0,1.0,4.0,Lost NCAA Tournament Regional Final,1.0,Roy Williams (32-6)
14,2010-11,ACC,29,8,0.784,18.87,10.15,77.5,68.8,8.0,6.0,7.0,Lost NCAA Tournament Regional Final,2.0,Roy Williams (29-8)
15,2009-10,ACC,20,17,0.541,10.14,9.83,74.5,71.9,6.0,6.0,,,,Roy Williams (20-17)
16,2008-09,ACC,34,4,0.895,25.46,8.35,89.8,72.0,1.0,1.0,2.0,Won NCAA Tournament National Final,1.0,Roy Williams (34-4)
17,2007-08,ACC,36,3,0.923,24.17,8.12,88.6,72.5,1.0,1.0,1.0,Lost NCAA Tournament National Semifinal,1.0,Roy Williams (36-3)
18,2006-07,ACC,31,7,0.816,26.41,9.3,85.7,68.6,2.0,1.0,4.0,Lost NCAA Tournament Regional Final,1.0,Roy Williams (31-7)
19,2005-06,ACC,23,8,0.742,18.48,7.77,79.4,68.6,,10.0,10.0,Lost NCAA Tournament Second Round,3.0,Roy Williams (23-8)
20,2004-05,ACC,33,4,0.892,28.42,10.66,88.0,70.3,4.0,2.0,2.0,Won NCAA Tournament National Final,1.0,Roy Williams (33-4)
21,2003-04,ACC,19,11,0.633,19.4,12.04,82.1,74.8,9.0,4.0,18.0,Lost NCAA Tournament Second Round,6.0,Roy Williams (19-11)
22,2002-03,ACC,19,16,0.543,11.22,10.31,72.1,71.2,,12.0,,,,Matt Doherty (19-16)
23,2001-02,ACC,8,20,0.286,3.86,10.5,72.2,78.9,19.0,19.0,,,,Matt Doherty (8-20)
24,2000-01,ACC,26,7,0.788,19.95,11.77,79.1,70.9,6.0,1.0,6.0,Lost NCAA Tournament Second Round,2.0,Matt Doherty (26-7)
25,1999-00,ACC,22,14,0.611,17.0,11.8,75.4,70.2,6.0,2.0,,Lost NCAA Tournament National Semifinal,8.0,Bill Guthridge (22-14)
26,1998-99,ACC,24,10,0.706,16.77,10.24,71.4,64.9,11.0,3.0,13.0,Lost NCAA Tournament First Round,3.0,Bill Guthridge (24-10)
27,1997-98,ACC,34,4,0.895,26.67,10.38,81.9,65.6,4.0,1.0,1.0,Lost NCAA Tournament National Semifinal,1.0,Bill Guthridge (34-4)
28,1996-97,ACC,28,7,0.8,21.23,12.0,77.4,66.7,8.0,4.0,4.0,Lost NCAA Tournament National Semifinal,1.0,Dean Smith (28-7)
29,1995-96,ACC,21,11,0.656,18.02,11.42,77.6,71.0,20.0,8.0,25.0,Lost NCAA Tournament Second Round,6.0,Dean Smith (21-11)
30,1994-95,ACC,28,6,0.824,23.58,13.14,84.4,74.0,2.0,1.0,4.0,Lost NCAA Tournament National Semifinal,2.0,Dean Smith (28-6)
31,1993-94,ACC,28,7,0.8,22.62,9.39,85.6,72.4,1.0,1.0,1.0,Lost NCAA Tournament Second Round,1.0,Dean Smith (28-7)
32,1992-93,ACC,34,4,0.895,29.04,11.25,86.1,68.3,7.0,1.0,4.0,Won NCAA Tournament National Final,1.0,Dean Smith (34-4)
33,1991-92,ACC,23,10,0.697,18.04,10.16,83.5,75.6,8.0,4.0,18.0,Lost NCAA Tournament Regional Semifinal,4.0,Dean Smith (23-10)
34,1990-91,ACC,29,6,0.829,26.9,10.9,87.6,71.6,5.0,4.0,4.0,Lost NCAA Tournament National Semifinal,1.0,Dean Smith (29-6)
35,1989-90,ACC,21,13,0.618,15.62,10.97,82.6,77.9,7.0,7.0,,Lost NCAA Tournament Regional Semifinal,8.0,Dean Smith (21-13)
36,1988-89,ACC,29,8,0.784,22.73,12.41,90.0,79.7,6.0,3.0,5.0,Lost NCAA Tournament Regional Semifinal,2.0,Dean Smith (29-8)
37,1987-88,ACC,27,7,0.794,19.52,10.72,82.1,73.2,3.0,1.0,7.0,Lost NCAA Tournament Regional Final,2.0,Dean Smith (27-7)
38,1986-87,ACC,32,4,0.889,24.48,8.71,91.3,74.9,1.0,1.0,2.0,Lost NCAA Tournament Regional Final,1.0,Dean Smith (32-4)
39,1985-86,ACC,28,6,0.824,26.13,8.51,86.6,69.0,2.0,1.0,8.0,Lost NCAA Tournament Regional Semifinal,3.0,Dean Smith (28-6)
40,1984-85,ACC,27,9,0.75,15.33,8.13,73.5,66.0,,5.0,7.0,Lost NCAA Tournament Regional Final,2.0,Dean Smith (27-9)
41,1983-84,ACC,28,3,0.903,23.86,8.6,80.1,64.8,1.0,1.0,1.0,Lost NCAA Tournament Regional Semifinal,1.0,Dean Smith (28-3)
42,1982-83,ACC,28,8,0.778,20.14,7.7,80.7,68.6,3.0,1.0,8.0,Lost NCAA Tournament Regional Final,2.0,Dean Smith (28-8)
43,1981-82,ACC,32,2,0.941,20.17,8.87,66.7,55.4,1.0,1.0,1.0,Won NCAA Tournament National Final,1.0,Dean Smith (32-2)
44,1980-81,ACC,29,8,0.784,18.3,10.05,71.9,63.4,13.0,6.0,6.0,Lost NCAA Tournament National Final,2.0,Dean Smith (29-8)
45,1979-80,ACC,21,8,0.724,12.79,7.17,73.2,68.0,6.0,6.0,15.0,Lost NCAA Tournament Second Round,3.0,Dean Smith (21-8)
46,1978-79,ACC,23,6,0.793,18.54,7.51,76.5,65.4,16.0,2.0,9.0,Lost NCAA Tournament Second Round,1.0,Dean Smith (23-6)
47,1977-78,ACC,23,8,0.742,16.25,7.48,81.1,70.7,1.0,1.0,16.0,Lost NCAA Tournament First Round,,Dean Smith (23-8)
48,1976-77,ACC,28,5,0.848,20.78,9.51,83.6,72.6,3.0,3.0,5.0,Lost NCAA Tournament National Final,,Dean Smith (28-5)
49,1975-76,ACC,25,4,0.862,18.17,7.17,85.1,74.3,5.0,3.0,8.0,Lost NCAA Tournament First Round,,Dean Smith (25-4)
50,1974-75,ACC,23,8,0.742,13.96,7.99,84.6,78.0,11.0,6.0,9.0,Lost NCAA Tournament Regional Semifinal,,Dean Smith (23-8)
51,1973-74,ACC,22,6,0.786,18.42,7.87,87.0,75.3,5.0,4.0,12.0,,,Dean Smith (22-6)
52,1972-73,ACC,25,8,0.758,17.71,6.83,84.7,72.8,,3.0,11.0,,,Dean Smith (25-8)
